,movie_id,conv_id,vader,nb
0,0,0,0.1894,0.37222222222222223
1,0,1,0.4527,0.5
2,0,2,-0.3818,0.15
3,0,3,-0.204,0.015238095238095236
4,0,4,0.0,0.0
5,0,5,0.9362,0.2857142857142857
6,0,6,0.2732,-0.1875
7,0,7,0.0,0.0
8,0,8,-0.2406,0.0
9,0,9,0.4588,0.35
10,0,10,0.1561,0.0
11,0,11,0.1655,0.35
12,0,12,0.9311,0.4
13,0,13,0.3612,0.0
14,0,14,0.296,0.0
15,0,15,0.5106,0.3
16,0,16,0.2982,0.0
17,0,17,-0.3664,-0.5
18,0,18,0.3612,0.0
19,0,19,-0.4314,-0.445
20,0,20,0.6662,0.5333333333333333
21,0,21,0.1179,-0.25
22,0,22,0.5859,0.1
23,0,23,0.5859,0.5
24,0,24,0.0,0.0
25,0,25,-0.296,0.0
26,0,26,0.0,0.0
27,0,27,0.6249,0.8
28,0,28,-0.0867,0.10297619047619049
29,0,29,0.4767,0.0
30,0,30,0.0,0.0
31,0,31,0.0,0.0
32,0,32,0.0,0.0
33,0,33,0.4019,0.25
34,0,34,0.6855,0.27222222222222225
35,0,35,0.4404,0.35
36,0,36,0.3197,0.029166666666666646
37,0,37,0.0772,0.0
38,0,38,0.0,0.0
39,0,39,-0.3818,-0.3666666666666667
40,0,40,-0.8977,0.09583333333333333
41,0,41,-0.7184,0.13999999999999999
42,0,42,0.4847,-0.09999999999999999
43,0,43,-0.3182,-0.2
44,0,44,0.0,0.1
45,0,45,0.0,0.17301587301587298
46,0,46,0.7357,0.5
47,0,47,0.7678,-0.04800000000000002
48,0,48,-0.4098,-0.2
49,0,49,-0.8531,0.2
50,0,50,0.68,0.5125
51,0,51,0.147,0.2375
52,0,52,0.5994,0.425
53,0,53,-0.804,0.125
54,0,54,0.0,0.1
55,0,55,0.0,0.0
56,0,56,-0.6411,-0.4375
57,0,57,-0.0572,0.25
58,0,58,-0.1053,-0.25
59,0,59,0.0,0.0
60,0,60,0.5859,0.0
61,0,61,-0.3595,0.0
62,0,62,-0.2263,0.0
63,0,63,-0.7005,0.31547619047619047
64,0,64,0.0772,-0.2
65,0,65,0.879,-0.036458333333333336
66,0,66,0.0,0.13636363636363635
